origin,destination,airline,travel_date,quote_date,fare_class,base_fare,airline_surcharge,statutory_taxes,airport_charges,taxes_fees,total_fare
DEL,BLR,SA1,2026-09-08,2026-09-01,BUSINESS,16990.69,2471.37,6796.28,4633.83,13901.48,30892.17
DEL,BLR,SA1,2026-09-11,2026-09-01,ECONOMY_SAVER,4362.8,634.59,1745.12,1189.86,3569.57,7932.37
DEL,BLR,SA1,2026-09-11,2026-09-01,ECONOMY_FLEX,5824.44,847.19,2329.78,1588.48,4765.45,10589.89
DEL,BLR,SA1,2026-09-11,2026-09-01,PREMIUM_ECONOMY,8731.6,1270.05,3492.64,2381.35,7144.04,15875.64
DEL,BLR,SA1,2026-09-11,2026-09-01,BUSINESS,16208.88,2357.66,6483.55,4420.6,13261.81,29470.69
DEL,BLR,SA1,2026-09-26,2026-09-01,ECONOMY_SAVER,3240.51,471.35,1296.2,883.78,2651.33,5891.84
DEL,BLR,SA1,2026-09-26,2026-09-01,ECONOMY_FLEX,4324.07,628.96,1729.63,1179.29,3537.88,7861.95
DEL,BLR,SA1,2026-09-26,2026-09-01,BUSINESS,12812.82,1863.68,5125.13,3494.4,10483.21,23296.03
DEL,BLR,SA1,2026-10-25,2026-09-01,ECONOMY_SAVER,3265.21,474.94,1306.09,890.51,2671.54,5936.75
DEL,BLR,SA1,2026-10-25,2026-09-01,ECONOMY_FLEX,4599.61,669.03,1839.84,1254.45,3763.32,8362.93
DEL,BLR,SA1,2026-10-25,2026-09-01,BUSINESS,12459.39,1812.28,4983.76,3398.01,10194.05,22653.44
DEL,BLR,BW2,2026-09-01,2026-09-01,ECONOMY_SAVER,4723.69,687.08,1889.47,1288.28,3864.83,8588.52
DEL,BLR,BW2,2026-09-01,2026-09-01,ECONOMY_FLEX,6957.27,1011.97,2782.91,1897.44,5692.32,12649.59
DEL,BLR,BW2,2026-09-08,2026-09-01,ECONOMY_SAVER,4194.31,610.08,1677.72,1143.91,3431.71,7626.02
DEL,BLR,BW2,2026-09-08,2026-09-01,ECONOMY_FLEX,5255.29,764.41,2102.12,1433.26,4299.79,9555.08
DEL,BLR,BW2,2026-09-08,2026-09-01,BUSINESS,14668.87,2133.65,5867.55,4000.61,12001.81,26670.68
DEL,BLR,BW2,2026-09-09,2026-09-01,ECONOMY_SAVER,4029.44,586.1,1611.78,1098.94,3296.82,7326.26
DEL,BLR,BW2,2026-09-09,2026-09-01,ECONOMY_FLEX,5023.81,730.74,2009.52,1370.13,4110.39,9134.2
DEL,BLR,BW2,2026-09-09,2026-09-01,PREMIUM_ECONOMY,7701.84,1120.27,3080.74,2100.5,6301.51,14003.35
DEL,BLR,BW2,2026-09-09,2026-09-01,BUSINESS,14539.79,2114.88,5815.92,3965.39,11896.19,26435.98
DEL,BLR,BW2,2026-10-01,2026-09-01,ECONOMY_SAVER,2867.69,417.12,1147.08,782.09,2346.29,5213.98
DEL,BLR,BW2,2026-10-01,2026-09-01,ECONOMY_FLEX,3776.59,549.32,1510.63,1029.98,3089.93,6866.52
DEL,BLR,BW2,2026-10-01,2026-09-01,PREMIUM_ECONOMY,5682.37,826.53,2272.95,1549.74,4649.22,10331.59
DEL,BLR,BW2,2026-10-10,2026-09-01,ECONOMY_SAVER,2706.83,393.72,1082.73,738.22,2214.67,4921.5
DEL,BLR,BW2,2026-10-10,2026-09-01,ECONOMY_FLEX,3798.45,552.5,1519.38,1035.95,3107.83,6906.28
DEL,BLR,BW2,2026-10-10,2026-09-01,BUSINESS,10423.95,1516.21,4169.58,2842.9,8528.69,18952.64
DEL,BLR,NS3,2026-09-03,2026-09-01,ECONOMY_SAVER,5414.68,787.59,2165.87,1476.74,4430.2,9844.88
DEL,BLR,NS3,2026-09-03,2026-09-01,ECONOMY_FLEX,7714.08,1122.05,3085.63,2103.84,6311.52,14025.6
DEL,BLR,NS3,2026-09-06,2026-09-01,ECONOMY_SAVER,5441.41,791.48,2176.57,1484.02,4452.07,9893.48
DEL,BLR,NS3,2026-09-06,2026-09-01,ECONOMY_FLEX,7135.38,1037.87,2854.15,1946.02,5838.04,12973.42
DEL,BLR,NS3,2026-09-15,2026-09-01,ECONOMY_SAVER,4245.97,617.6,1698.39,1157.98,3473.97,7719.94
DEL,BLR,NS3,2026-09-15,2026-09-01,ECONOMY_FLEX,5404.64,786.13,2161.86,1473.99,4421.98,9826.62
DEL,BLR,NS3,2026-09-25,2026-09-01,ECONOMY_SAVER,3792.92,551.7,1517.17,1034.42,3103.29,6896.21
DEL,BLR,NS3,2026-09-25,2026-09-01,ECONOMY_FLEX,5350.28,778.22,2140.11,1459.17,4377.5,9727.78
DEL,BLR,NS3,2026-09-25,2026-09-01,PREMIUM_ECONOMY,7843.14,1140.82,3137.26,2139.03,6417.11,14260.25
DEL,BLR,NS3,2026-09-25,2026-09-01,BUSINESS,14486.11,2107.07,5794.45,3950.76,11852.28,26338.39
DEL,BLR,NS3,2026-10-04,2026-09-01,ECONOMY_SAVER,3692.95,537.16,1477.18,1007.16,3021.5,6714.45
DEL,BLR,NS3,2026-10-04,2026-09-01,ECONOMY_FLEX,5004.08,727.87,2001.63,1364.74,4094.24,9098.32
DEL,BLR,NS3,2026-10-04,2026-09-01,PREMIUM_ECONOMY,7671.2,1115.81,3068.48,2092.15,6276.44,13947.64
DEL,BLR,CE9,2026-09-02,2026-09-01,ECONOMY_SAVER,4650.65,676.46,1860.26,1268.35,3805.07,8455.72
DEL,BLR,CE9,2026-09-02,2026-09-01,ECONOMY_FLEX,6178.21,898.65,2471.28,1684.97,5054.9,11233.11
DEL,BLR,CE9,2026-09-02,2026-09-01,PREMIUM_ECONOMY,9061.13,1317.98,3624.45,2471.23,7413.66,16474.79
DEL,BLR,CE9,2026-09-02,2026-09-01,BUSINESS,16392.63,2384.38,6557.05,4470.73,13412.16,29804.79
DEL,BLR,CE9,2026-09-08,2026-09-01,ECONOMY_SAVER,3510.95,510.68,1404.38,957.54,2872.6,6383.55
DEL,BLR,CE9,2026-09-08,2026-09-01,ECONOMY_FLEX,5159.13,750.42,2063.65,1407.03,4221.1,9380.23
DEL,BLR,CE9,2026-09-11,2026-09-01,ECONOMY_SAVER,3821.79,555.9,1528.72,1042.3,3126.92,6948.71
DEL,BLR,CE9,2026-09-11,2026-09-01,ECONOMY_FLEX,5265.49,765.89,2106.19,1436.04,4308.12,9573.61
DEL,BLR,CE9,2026-09-23,2026-09-01,ECONOMY_SAVER,2845.19,413.85,1138.08,775.96,2327.89,5173.08
DEL,BLR,CE9,2026-09-23,2026-09-01,ECONOMY_FLEX,3755.09,546.19,1502.03,1024.12,3072.34,6827.43
DEL,BLR,CE9,2026-09-23,2026-09-01,PREMIUM_ECONOMY,6107.21,888.32,2442.88,1665.61,4996.81,11104.02
DEL,BLR,CE9,2026-10-07,2026-09-01,ECONOMY_SAVER,2678.27,389.57,1071.31,730.44,2191.32,4869.59
DEL,BLR,CE9,2026-10-07,2026-09-01,ECONOMY_FLEX,3597.78,523.31,1439.11,981.22,2943.64,6541.42
DEL,BLR,CE9,2026-10-07,2026-09-01,PREMIUM_ECONOMY,5223.31,759.75,2089.32,1424.54,4273.61,9496.92
DEL,BLR,CE9,2026-10-07,2026-09-01,BUSINESS,9707.9,1412.06,3883.16,2647.61,7942.83,17650.73
BLR,DEL,SA1,2026-09-01,2026-09-01,ECONOMY_SAVER,5105.25,742.58,2042.1,1392.34,4177.02,9282.27
BLR,DEL,SA1,2026-09-01,2026-09-01,ECONOMY_FLEX,6708.19,975.74,2683.28,1829.5,5488.52,12196.71
BLR,DEL,SA1,2026-09-06,2026-09-01,ECONOMY_SAVER,5034.33,732.27,2013.73,1372.99,4118.99,9153.32
BLR,DEL,SA1,2026-09-06,2026-09-01,ECONOMY_FLEX,6779.4,986.09,2711.76,1848.93,5546.78,12326.18
BLR,DEL,SA1,2026-09-06,2026-09-01,PREMIUM_ECONOMY,10210.65,1485.18,4084.26,2784.72,8354.16,18564.81
BLR,DEL,SA1,2026-09-06,2026-09-01,BUSINESS,18585.67,2703.37,7434.27,5068.82,15206.46,33792.13
BLR,DEL,SA1,2026-09-11,2026-09-01,ECONOMY_SAVER,4307.75,626.58,1723.1,1174.84,3524.52,7832.27
BLR,DEL,SA1,2026-09-11,2026-09-01,ECONOMY_FLEX,5822.59,846.92,2329.04,1587.98,4763.94,10586.53
BLR,DEL,SA1,2026-09-11,2026-09-01,PREMIUM_ECONOMY,8843.1,1286.27,3537.24,2411.76,7235.27,16078.37
BLR,DEL,SA1,2026-09-11,2026-09-01,BUSINESS,16808.3,2444.84,6723.32,4584.09,13752.25,30560.55
BLR,DEL,SA1,2026-09-30,2026-09-01,ECONOMY_SAVER,2991.14,435.07,1196.45,815.77,2447.29,5438.43
BLR,DEL,SA1,2026-09-30,2026-09-01,ECONOMY_FLEX,4141.05,602.33,1656.42,1129.38,3388.13,7529.18
BLR,DEL,SA1,2026-10-22,2026-09-01,ECONOMY_SAVER,3203.87,466.02,1281.55,873.78,2621.35,5825.22
BLR,DEL,SA1,2026-10-22,2026-09-01,ECONOMY_FLEX,4307.9,626.6,1723.16,1174.88,3524.64,7832.54
BLR,DEL,SA1,2026-10-22,2026-09-01,PREMIUM_ECONOMY,6764.04,983.86,2705.62,1844.73,5534.21,12298.25
BLR,DEL,SA1,2026-10-22,2026-09-01,BUSINESS,12840.07,1867.65,5136.03,3501.84,10505.52,23345.59
BLR,DEL,BW2,2026-09-04,2026-09-01,ECONOMY_SAVER,4584.08,666.78,1833.63,1250.2,3750.61,8334.69
BLR,DEL,BW2,2026-09-04,2026-09-01,ECONOMY_FLEX,6581.54,957.32,2632.62,1794.96,5384.9,11966.44
BLR,DEL,BW2,2026-09-04,2026-09-01,PREMIUM_ECONOMY,9592.04,1395.21,3836.82,2616.0,7848.03,17440.07
BLR,DEL,BW2,2026-09-04,2026-09-01,BUSINESS,17557.8,2553.86,7023.12,4788.5,14365.48,31923.28
BLR,DEL,BW2,2026-09-07,2026-09-01,ECONOMY_SAVER,4034.77,586.88,1613.91,1100.39,3301.18,7335.95
BLR,DEL,BW2,2026-09-07,2026-09-01,ECONOMY_FLEX,5307.04,771.93,2122.82,1447.37,4342.12,9649.16
BLR,DEL,BW2,2026-09-13,2026-09-01,ECONOMY_SAVER,3839.11,558.42,1535.64,1047.03,3141.09,6980.2
BLR,DEL,BW2,2026-09-13,2026-09-01,ECONOMY_FLEX,5148.56,748.88,2059.42,1404.16,4212.46,9361.02
BLR,DEL,BW2,2026-09-26,2026-09-01,ECONOMY_SAVER,3023.74,439.82,1209.49,824.65,2473.96,5497.7
BLR,DEL,BW2,2026-09-26,2026-09-01,ECONOMY_FLEX,3919.83,570.16,1567.93,1069.04,3207.13,7126.96
BLR,DEL,BW2,2026-09-26,2026-09-01,PREMIUM_ECONOMY,6277.66,913.11,2511.06,1712.09,5136.26,11413.92
BLR,DEL,BW2,2026-09-26,2026-09-01,BUSINESS,10484.63,1525.04,4193.85,2859.44,8578.33,19062.96
BLR,DEL,BW2,2026-10-26,2026-09-01,ECONOMY_SAVER,3010.22,437.85,1204.09,820.96,2462.9,5473.12
BLR,DEL,BW2,2026-10-26,2026-09-01,ECONOMY_FLEX,3905.31,568.04,1562.12,1065.09,3195.25,7100.56
BLR,DEL,BW2,2026-10-26,2026-09-01,PREMIUM_ECONOMY,6104.22,887.89,2441.69,1664.79,4994.37,11098.59
BLR,DEL,BW2,2026-10-26,2026-09-01,BUSINESS,11931.35,1735.47,4772.54,3254.01,9762.02,21693.37
BLR,DEL,NS3,2026-09-01,2026-09-01,ECONOMY_SAVER,5839.31,849.35,2335.72,1592.55,4777.62,10616.93
BLR,DEL,NS3,2026-09-01,2026-09-01,ECONOMY_FLEX,8175.35,1189.14,3270.14,2229.65,6688.93,14864.28
BLR,DEL,NS3,2026-09-08,2026-09-01,ECONOMY_SAVER,4888.72,711.09,1955.49,1333.28,3999.86,8888.58
BLR,DEL,NS3,2026-09-08,2026-09-01,ECONOMY_FLEX,6751.31,982.01,2700.52,1841.27,5523.8,12275.11
BLR,DEL,NS3,2026-09-08,2026-09-01,PREMIUM_ECONOMY,9989.29,1452.99,3995.72,2724.35,8173.06,18162.35
BLR,DEL,NS3,2026-09-08,2026-09-01,BUSINESS,18570.45,2701.16,7428.18,5064.67,15194.01,33764.46
BLR,DEL,NS3,2026-09-09,2026-09-01,ECONOMY_SAVER,4867.04,707.93,1946.82,1327.38,3982.13,8849.17
BLR,DEL,NS3,2026-09-09,2026-09-01,ECONOMY_FLEX,6634.66,965.04,2653.86,1809.45,5428.35,12063.01
BLR,DEL,NS3,2026-09-09,2026-09-01,PREMIUM_ECONOMY,9923.06,1443.35,3969.22,2706.3,8118.87,18041.93
BLR,DEL,NS3,2026-09-09,2026-09-01,BUSINESS,18093.55,2631.79,7237.42,4934.6,14803.81,32897.36
BLR,DEL,NS3,2026-09-16,2026-09-01,ECONOMY_SAVER,3997.51,581.46,1599.0,1090.23,3270.69,7268.2
BLR,DEL,NS3,2026-09-16,2026-09-01,ECONOMY_FLEX,5303.05,771.35,2121.22,1446.28,4338.85,9641.9
BLR,DEL,NS3,2026-09-16,2026-09-01,PREMIUM_ECONOMY,8287.54,1205.46,3315.02,2260.24,6780.72,15068.26
BLR,DEL,NS3,2026-09-16,2026-09-01,BUSINESS,14739.85,2143.98,5895.94,4019.96,12059.88,26799.73
BLR,DEL,NS3,2026-10-14,2026-09-01,ECONOMY_SAVER,3389.04,492.95,1355.62,924.28,2772.85,6161.89
BLR,DEL,NS3,2026-10-14,2026-09-01,ECONOMY_FLEX,4123.69,599.81,1649.48,1124.64,3373.93,7497.62
BLR,DEL,NS3,2026-10-14,2026-09-01,BUSINESS,11672.52,1697.82,4669.01,3183.42,9550.25,21222.77
BLR,DEL,CE9,2026-09-02,2026-09-01,ECONOMY_SAVER,4196.31,610.37,1678.53,1144.45,3433.35,7629.66
BLR,DEL,CE9,2026-09-02,2026-09-01,ECONOMY_FLEX,5788.71,841.99,2315.48,1578.74,4736.21,10524.92
BLR,DEL,CE9,2026-09-07,2026-09-01,ECONOMY_SAVER,3606.95,524.65,1442.78,983.71,2951.14,6558.09
BLR,DEL,CE9,2026-09-07,2026-09-01,ECONOMY_FLEX,4814.39,700.27,1925.75,1313.02,3939.04,8753.43
BLR,DEL,CE9,2026-09-07,2026-09-01,BUSINESS,14225.03,2069.1,5690.01,3879.55,11638.66,25863.69
BLR,DEL,CE9,2026-09-15,2026-09-01,ECONOMY_SAVER,3333.9,484.93,1333.56,909.25,2727.74,6061.64
BLR,DEL,CE9,2026-09-15,2026-09-01,ECONOMY_FLEX,4058.54,590.33,1623.42,1106.88,3320.63,7379.17
BLR,DEL,CE9,2026-09-15,2026-09-01,BUSINESS,11641.22,1693.27,4656.49,3174.88,9524.64,21165.86
BLR,DEL,CE9,2026-09-17,2026-09-01,ECONOMY_SAVER,3087.27,449.06,1234.91,841.97,2525.94,5613.21
BLR,DEL,CE9,2026-09-17,2026-09-01,ECONOMY_FLEX,4092.28,595.24,1636.91,1116.08,3348.23,7440.51
BLR,DEL,CE9,2026-09-17,2026-09-01,PREMIUM_ECONOMY,6595.79,959.39,2638.32,1798.85,5396.56,11992.35
BLR,DEL,CE9,2026-10-10,2026-09-01,ECONOMY_SAVER,2607.02,379.2,1042.81,711.01,2133.02,4740.04
BLR,DEL,CE9,2026-10-10,2026-09-01,ECONOMY_FLEX,3396.8,494.08,1358.72,926.4,2779.2,6176.0
BLR,DEL,CE9,2026-10-10,2026-09-01,PREMIUM_ECONOMY,5347.64,777.84,2139.06,1458.44,4375.34,9722.98
BLR,DEL,CE9,2026-10-10,2026-09-01,BUSINESS,10019.62,1457.4,4007.85,2732.63,8197.88,18217.5
BOM,BLR,SA1,2026-09-02,2026-09-01,ECONOMY_SAVER,3370.73,490.29,1348.29,919.29,2757.87,6128.6
BOM,BLR,SA1,2026-09-02,2026-09-01,ECONOMY_FLEX,4637.19,674.5,1854.88,1264.68,3794.06,8431.25
BOM,BLR,SA1,2026-09-02,2026-09-01,PREMIUM_ECONOMY,7066.66,1027.88,2826.66,1927.27,5781.81,12848.47
BOM,BLR,SA1,2026-09-02,2026-09-01,BUSINESS,13746.27,1999.46,5498.51,3748.97,11246.94,24993.21
BOM,BLR,SA1,2026-09-08,2026-09-01,ECONOMY_SAVER,2898.08,421.54,1159.23,790.39,2371.16,5269.24
BOM,BLR,SA1,2026-09-08,2026-09-01,ECONOMY_FLEX,3799.1,552.6,1519.64,1036.12,3108.36,6907.46
BOM,BLR,SA1,2026-09-08,2026-09-01,PREMIUM_ECONOMY,5821.8,846.81,2328.72,1587.76,4763.29,10585.09
BOM,BLR,SA1,2026-09-08,2026-09-01,BUSINESS,10335.59,1503.36,4134.24,2818.8,8456.4,18791.99
BOM,BLR,SA1,2026-09-15,2026-09-01,ECONOMY_SAVER,2488.7,361.99,995.48,678.73,2036.2,4524.9
BOM,BLR,SA1,2026-09-15,2026-09-01,ECONOMY_FLEX,3402.13,494.86,1360.85,927.85,2783.56,6185.69
BOM,BLR,SA1,2026-09-15,2026-09-01,PREMIUM_ECONOMY,5367.46,780.72,2146.98,1463.86,4391.56,9759.02
BOM,BLR,SA1,2026-09-15,2026-09-01,BUSINESS,9296.77,1352.26,3718.71,2535.48,7606.45,16903.22
BOM,BLR,SA1,2026-09-17,2026-09-01,ECONOMY_SAVER,2363.66,343.81,945.47,644.63,1933.91,4297.57
BOM,BLR,SA1,2026-09-17,2026-09-01,ECONOMY_FLEX,3216.43,467.84,1286.57,877.22,2631.63,5848.06
BOM,BLR,SA1,2026-09-17,2026-09-01,BUSINESS,9262.57,1347.28,3705.03,2526.16,7578.47,16841.04
BOM,BLR,SA1,2026-10-07,2026-09-01,ECONOMY_SAVER,2054.94,298.9,821.98,560.44,1681.32,3736.26
BOM,BLR,SA1,2026-10-07,2026-09-01,ECONOMY_FLEX,2788.85,405.65,1115.54,760.6,2281.79,5070.64
BOM,BLR,BW2,2026-09-03,2026-09-01,ECONOMY_SAVER,3108.16,452.1,1243.26,847.68,2543.04,5651.2
BOM,BLR,BW2,2026-09-03,2026-09-01,ECONOMY_FLEX,4299.85,625.43,1719.94,1172.68,3518.05,7817.9
